Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-01,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-08,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
