Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,200,160,160,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,200,160,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,200,150,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,200,160,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,180,160,160,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,180,150,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,160,150,155,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,160,145,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,130,160,135,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,195,225,220,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,180,225,195,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,180,225,190,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,180,225,180,190,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,180,225,180,185,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,175,225,175,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,170,180,170,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,180,165,175,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,160,145,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,160,145,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,200,160,160,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,160,200,160,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,160,200,160,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,200,150,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,180,150,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,160,180,160,160,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,160,150,155,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,160,145,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,2016-10-29,130,160,135,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
