Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-16,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-16,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-23,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-23,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-30,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,2017-09-30,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-09-24,135,135,135,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-09-24,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-01,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-01,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-08,130,130,130,130,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-08,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-22,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-22,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,2016-10-22,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
