Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,2016-10-15,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,2016-10-22,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,2016-10-29,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,175,175,175,175,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,165,165,165,165,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,165,165,165,165,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,165,190,165,190,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,190,190,190,190,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,190,190,190,190,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,150,150,150,PENNSYLVANIA,,jbo,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,150,150,150,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,150,150,150,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,160,160,160,160,VIRGINIA,,jbo,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,160,150,160,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,150,150,150,VIRGINIA,,lge,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,130,130,130,130,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,PENNSYLVANIA,,jbo,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,160,160,160,160,VIRGINIA,,jbo,,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,VIRGINIA,,xlge,,,,,,,,,N,
