Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-16,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-23,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-09-24,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-01,150,160,150,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-01,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-01,125,150,125,150,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-08,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-08,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-08,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-15,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-15,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-15,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-22,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-22,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-22,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-29,115,120,115,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-29,100,120,100,120,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-10-29,120,120,120,120,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-11-05,115,115,115,115,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-11-05,100,100,100,100,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2016-11-05,120,120,120,120,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-16,160,160,160,160,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-16,150,160,150,160,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-23,170,170,170,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-23,160,160,160,160,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-23,150,160,150,160,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,170,170,170,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,170,170,170,170,TEXAS,,xlge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,125,160,125,160,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,125,160,125,160,TEXAS,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,2017-09-30,125,160,125,160,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-09-24,170,170,170,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-10-01,160,170,160,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-10-08,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-10-15,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-10-22,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-10-29,120,140,120,140,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2016-11-05,120,120,120,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-16,165,165,165,165,MEXICO,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-16,150,150,150,150,MEXICO,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-23,165,165,165,165,MEXICO,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,MEXICO,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-23,150,150,150,150,TEXAS,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-30,165,165,165,165,MEXICO,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-30,150,150,150,150,MEXICO,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN TYPE,,,2017-09-30,150,150,150,150,TEXAS,,med-lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-24,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-01,150,160,150,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-08,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-15,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-22,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-29,120,120,120,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-11-05,120,120,120,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-09-24,170,170,170,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-10-01,160,170,160,170,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-10-08,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-10-15,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-10-22,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-10-29,140,140,140,140,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,HOWDEN WHITE TYPE,,,2016-11-05,140,140,140,140,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-09-24,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-10-01,150,160,150,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-10-08,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-10-15,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-10-22,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-10-29,120,120,120,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,CINDERELLA,,,2016-11-05,120,120,120,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,36 inch bins,CINDERELLA,,,2016-09-24,170,170,170,170,TEXAS,,jbo,,,,,,,,,N,
