Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,2017-09-16,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,2017-09-16,94,95,94,95,MICHIGAN,,med,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,2017-09-23,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,2017-09-23,94,95,94,95,MICHIGAN,,med,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,2017-09-23,175,175,175,175,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,2017-09-23,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,2017-09-30,175,175,175,175,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,2017-09-30,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-22,100,100,100,100,MICHIGAN,,med-lge,WHITE,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN WHITE TYPE,,,2016-10-29,100,100,100,100,MICHIGAN,,med-lge,WHITE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,2016-10-22,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,2016-10-29,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,2016-11-05,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
