Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,PHILADELPHIA,,24 inch bins,HOWDEN TYPE,,,2017-09-16,140,150,140,150,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,NEW YORK,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,150,150,150,NEW YORK,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-09-24,150,160,150,160,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,140,140,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,140,140,140,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-01,120,120,120,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,140,155,140,155,NEW JERSEY,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-08,120,120,120,120,NEW JERSEY,,sml,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,120,125,120,125,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-15,100,125,100,125,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,130,140,130,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,130,140,130,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-22,100,120,100,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,130,140,130,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,130,140,130,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2016-10-29,100,120,120,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,2017-09-16,120,150,120,150,PENNSYLVANIA,,med,,,,,,,,,N,
