Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-09-24,155,155,155,155,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-01,155,155,155,155,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-01,155,155,155,155,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-01,135,135,135,135,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-08,135,150,135,150,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-08,135,135,135,135,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-15,120,150,120,150,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-15,120,150,120,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-15,120,145,120,145,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-22,120,145,120,145,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-22,120,150,120,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-22,120,145,120,145,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-29,120,145,120,145,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-29,110,150,110,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-10-29,100,145,100,145,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-11-05,120,120,120,120,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-11-05,110,120,110,120,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-11-05,100,120,100,120,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-11-12,120,120,120,120,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,2016-11-12,110,120,110,120,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,HOWDEN TYPE,,,2016-10-22,440,440,440,440,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-08,135,150,135,150,CALIFORNIA,,jbo,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-08,135,150,135,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-08,135,150,135,150,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,135,150,135,150,CALIFORNIA,,jbo,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,135,150,135,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2016-10-15,135,150,135,150,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-09,140,140,140,140,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-16,140,175,140,175,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-23,175,175,175,175,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-23,120,120,120,120,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-23,120,120,120,120,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-23,120,120,120,120,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-30,120,135,120,135,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-30,120,135,120,135,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-30,200,200,200,200,CALIFORNIA,,med,WHITE,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,2017-09-30,120,120,120,120,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,CINDERELLA,,,2017-09-16,255,255,255,255,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,CINDERELLA,,,2017-09-23,185,255,185,255,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,CINDERELLA,,,2017-09-30,185,200,185,200,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,FAIRYTALE,,,2016-10-08,300,300,300,300,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,FAIRYTALE,,,2016-10-15,300,300,300,300,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,FAIRYTALE,,,2017-09-30,185,200,185,200,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,PIE TYPE,,,2016-10-15,350,350,350,350,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,PIE TYPE,,,2016-10-15,480,480,480,480,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,PIE TYPE,,,2016-10-29,350,350,350,350,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,PIE TYPE,,,2016-11-05,350,350,350,350,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,PIE TYPE,,,2016-11-12,350,350,350,350,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,35 lb cartons,PIE TYPE,,,2016-09-24,30,32,30,32,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-09-24,32,32,32,32,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-01,31.5,32,31.5,32,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-01,29,30,29,30,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-08,31.5,31.5,31.5,31.5,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-08,29,29,29,29,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-15,28,31.5,28,31.5,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-15,29,30,29,30,WASHINGTON,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,35 lb cartons,PIE TYPE,,,2016-10-22,28,28,28,28,CALIFORNIA,,,,,,,,,,,N,
