Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-26,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-26,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-27,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-27,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-28,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-28,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-29,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-29,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-30,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,2016-09-30,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-26,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-27,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-28,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-29,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,125,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,115,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,125,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,115,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,115,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,2016-09-30,115,115,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-26,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-27,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-28,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-29,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,2016-09-30,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,2016-09-26,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,2016-09-27,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,2016-09-28,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,2016-09-29,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,2016-09-30,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,2016-09-26,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,2016-09-27,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,2016-09-28,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,2016-09-29,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,2016-09-30,150,150,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-26,100,100,,,ILLINOIS,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-26,135,135,,,MISSOURI,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-27,100,100,,,ILLINOIS,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-27,135,135,,,MISSOURI,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-28,100,100,,,ILLINOIS,,,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-28,135,135,,,MISSOURI,,,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-29,100,100,,,ILLINOIS,,,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-29,135,135,,,MISSOURI,,,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-30,100,100,,,ILLINOIS,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,2016-09-30,135,135,,,MISSOURI,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-26,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-26,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-26,15.75,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-26,12.5,12.5,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-27,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-27,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-27,15,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-27,12.5,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-28,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-28,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-28,15,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-28,12.5,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-29,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-29,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-29,13.75,15,,,ILLINOIS,,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,2016-09-29,10.75,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
